Entity,Code,Year,SocialExpenditureGDP(%)
Australia,AUS,1880,0
Australia,AUS,1890,0
Australia,AUS,1900,0
Australia,AUS,1910,1.12
Australia,AUS,1920,1.66
Australia,AUS,1930,2.11
Australia,AUS,1960,5.93012553
Australia,AUS,1961,6.333481916
Australia,AUS,1962,6.285261018
Australia,AUS,1963,6.199258799
Australia,AUS,1964,5.976754619
Australia,AUS,1965,6.059972782
Australia,AUS,1966,5.921643458
Australia,AUS,1967,5.652750976
Australia,AUS,1968,5.676263156
Australia,AUS,1969,5.849024071
Australia,AUS,1970,5.914159614
Australia,AUS,1971,6.211192705
Australia,AUS,1972,6.638595805
Australia,AUS,1973,7.012542058
Australia,AUS,1974,8.39848658
Australia,AUS,1975,10.15894538
Australia,AUS,1976,10.59740856
Australia,AUS,1977,10.9222346
Australia,AUS,1978,10.6378896
Australia,AUS,1979,10.29641421
Australia,AUS,1980,10.268
Australia,AUS,1985,12.088
Australia,AUS,1990,13.131
Australia,AUS,1995,16.871
Australia,AUS,2000,18.242
Australia,AUS,2005,16.681
Australia,AUS,2010,16.706
Australia,AUS,2013,18.109
Australia,AUS,2014,18.697
Australia,AUS,2015,18.794
Australia,AUS,2016,19.146
Canada,CAN,1880,0
Canada,CAN,1890,0
Canada,CAN,1900,0
Canada,CAN,1910,0
Canada,CAN,1920,0.06
Canada,CAN,1930,0.31
Canada,CAN,1960,8.117736532
Canada,CAN,1961,8.396542221
Canada,CAN,1962,8.357319358
Canada,CAN,1963,8.290315209
Canada,CAN,1964,8.196586418
Canada,CAN,1965,7.937770546
Canada,CAN,1966,8.075592063
Canada,CAN,1967,8.829456762
Canada,CAN,1968,9.369240535
Canada,CAN,1969,9.720853383
Canada,CAN,1970,10.48436839
Canada,CAN,1971,11.36838633
Canada,CAN,1972,12.12909131
Canada,CAN,1973,12.14316779
Canada,CAN,1974,12.53374604
Canada,CAN,1975,13.67648823
Canada,CAN,1976,13.37451818
Canada,CAN,1977,13.595433
Canada,CAN,1978,13.39408899
Canada,CAN,1979,12.90118654
Canada,CAN,1980,13.306
Canada,CAN,1985,16.418
Canada,CAN,1990,17.546
Canada,CAN,1995,18.354
Canada,CAN,2000,15.763
Canada,CAN,2005,16.138
Canada,CAN,2010,17.547
Canada,CAN,2013,16.878
Canada,CAN,2014,16.818
Canada,CAN,2015,17.213
Denmark,DNK,1880,0.96
Denmark,DNK,1890,1.11
Denmark,DNK,1900,1.41
Denmark,DNK,1910,1.75
Denmark,DNK,1920,2.71
Denmark,DNK,1930,3.11
Denmark,DNK,1960,9.46270583
Denmark,DNK,1970,14.76521717
Denmark,DNK,1971,15.53662405
Denmark,DNK,1972,15.66169698
Denmark,DNK,1973,15.56647099
Denmark,DNK,1974,17.52376389
Denmark,DNK,1975,18.72106353
Denmark,DNK,1976,18.01916598
Denmark,DNK,1977,18.35230368
Denmark,DNK,1978,19.23045696
Denmark,DNK,1979,19.7745319
Denmark,DNK,1980,20.334
Denmark,DNK,1985,19.294
Denmark,DNK,1990,21.973
Denmark,DNK,1995,25.513
Denmark,DNK,2000,23.765
Denmark,DNK,2005,25.186
Denmark,DNK,2010,28.941
Denmark,DNK,2013,29.017
Denmark,DNK,2014,29.001
Denmark,DNK,2015,28.814
Denmark,DNK,2016,28.677
France,FRA,1880,0.46
France,FRA,1890,0.54
France,FRA,1900,0.57
